feature,importance
area_category,0.18176657
area_m2,0.109260336
has_luxury_features,0.058095858
area_rooms_interaction,0.056139372
swimming_pool,0.048665628
heating,0.043116763
room_category,0.03791844
rooms,0.03287891
property_type_Maison,0.03187986
total_amenities,0.029550977
garden,0.027600188
cellar,0.0260013
property_type_Appartement,0.025895497
elevator,0.025448697
property_type_Villa,0.025218457
doorman,0.024832869
equipped_kitchen,0.020341087
security,0.019911421
garage,0.019726155
reinforced_door,0.019609118
air_conditioning,0.019414002
double_glazing,0.018766945
property_type_Immeuble,0.017769953
terrace,0.016983777
property_type_Duplex,0.016667595
property_type_Triplex,0.011585483
property_type_Panthouse,0.01042082
property_type_Studio,0.009410547
property_type_Terrain,0.008792461
property_type_Résidence,0.006330913
property_type_Chalet,0.0
