feature,importance
area_m2,0.11858344
area_rooms_interaction,0.05726043
location_tier,0.045993358
is_tourist_area,0.045926597
rooms,0.03444488
location_quality_score,0.034362037
property_type_Appartement,0.033763684
swimming_pool,0.033553626
district_frequency,0.03250577
heating,0.032356758
premium_amenities,0.032161605
area_category,0.02868617
is_coastal,0.027225738
has_luxury_features,0.024570484
coastal_premium_score,0.024173172
property_type_Maison,0.02066267
property_type_Villa,0.020235084
city_frequency,0.019771378
room_category,0.018820569
space_quality,0.018140681
garden,0.01639181
property_type_Immeuble,0.015691258
total_amenities,0.015648428
area_per_room,0.014722241
security_score,0.014608015
doorman,0.01390417
city_is_common,0.013829485
amenity_density,0.013726415
double_glazing,0.0131178135
reinforced_door,0.012842212
cellar,0.01260599
property_type_Triplex,0.012602999
property_type_Duplex,0.012295465
equipped_kitchen,0.01197782
air_conditioning,0.011548938
security,0.011540816
basic_amenities,0.011519239
terrace,0.010610732
elevator,0.01025686
district_is_common,0.009582791
garage,0.009411418
property_type_Terrain,0.00899271
property_type_Résidence,0.007856621
property_type_Panthouse,0.007473405
property_type_Studio,0.0040443023
property_type_Chalet,0.0
