mx-0 href,w-[70px],w-full src,bg-neutral-300 src,flex,mr-1,mr-1 (2),card-title,line-clamp-1
https://www.tayara.tn/item/immobilier-neuf/la-manouba/la-manouba/a-vendre-s2-au-3-me-tage/690dc550145e1617cb9e708e/,Résidence Eddiar,https://www.tayara.tn/mediaGateway/resize-image?img=c8/c8a22855-a811-46ec-9e49-4df52e2b75f5&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=cd/cd90cf61-ec61-45ff-93a2-404f8e0b3187&w=300,NEUF,324,000,A vendre S+2 au 3 éme étage,"La Manouba, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/la-manouba/la-manouba/a-vendre-un-local-commercial-de-821-m/692d58f7265523b710edcdf1/,Résidence Eddiar,https://www.tayara.tn/mediaGateway/resize-image?img=c8/c8a22855-a811-46ec-9e49-4df52e2b75f5&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=93/93f18072-91ea-4cb7-bd01-fc113c7925cd&w=300,NEUF,287,000,"A vendre un local commercial de 82,1 m²","La Manouba, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/la-manouba/la-manouba/a-vendre-s2-au-4-me-tage/690dc76e145e1617cb9e73f7/,Résidence Eddiar,https://www.tayara.tn/mediaGateway/resize-image?img=c8/c8a22855-a811-46ec-9e49-4df52e2b75f5&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=95/95964860-0a12-4a4a-b343-cfc692c34cb1&w=300,NEUF,290,000,A vendre S+2 au 4 ème étage,"La Manouba, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/la-manouba/la-manouba/a-vendre-un-local-commercial-de-841-m/690dcd73145e1617cb9e7e05/,Résidence Eddiar,https://www.tayara.tn/mediaGateway/resize-image?img=c8/c8a22855-a811-46ec-9e49-4df52e2b75f5&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=4f/4fd56473-1127-45fa-9b3c-c83a424f2539&w=300,NEUF,294,000,"A vendre un local commercial de 84,1 m²","La Manouba, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/la-manouba/la-manouba/a-vendre-s2-au-3-me-tage/690dce53145e1617cb9e7f95/,Résidence Eddiar,https://www.tayara.tn/mediaGateway/resize-image?img=c8/c8a22855-a811-46ec-9e49-4df52e2b75f5&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=0c/0cea8b42-f1b8-47a0-843b-ceb530e1ec22&w=300,NEUF,366,000,A vendre S+2 au 3 ème étage,"La Manouba, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/la-manouba/la-manouba/a-vendre-s2-au-4-me-tage/690dbad2145e1617cb9e600c/,Résidence Eddiar,https://www.tayara.tn/mediaGateway/resize-image?img=c8/c8a22855-a811-46ec-9e49-4df52e2b75f5&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=22/222f27a8-ad40-4bc3-ae84-c4b7a8b57871&w=300,NEUF,287,000,A vendre S+2 au 4 ème étage,"La Manouba, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/la-manouba/la-manouba/a-vendre-s2-au-2-me-tage/690dc02d145e1617cb9e6833/,Résidence Eddiar,https://www.tayara.tn/mediaGateway/resize-image?img=c8/c8a22855-a811-46ec-9e49-4df52e2b75f5&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=30/309526fb-2dbb-4a4a-b824-d3b43576ee51&w=300,NEUF,338,000,A vendre S+2 au 2 ème étage,"La Manouba, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/la-manouba/la-manouba/a-vendre-un-local-commercial-de-944-m/690dbbf2145e1617cb9e619a/,Résidence Eddiar,https://www.tayara.tn/mediaGateway/resize-image?img=c8/c8a22855-a811-46ec-9e49-4df52e2b75f5&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=aa/aa7f9757-6e69-4c35-ba34-66c521ca25ce&w=300,NEUF,330,000,A vendre un local commercial de 94.4 m²,"La Manouba, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/la-manouba/la-manouba/a-vendre-un-local-commercial-de-1128-m/690dbda4145e1617cb9e640b/,Résidence Eddiar,https://www.tayara.tn/mediaGateway/resize-image?img=c8/c8a22855-a811-46ec-9e49-4df52e2b75f5&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=d3/d336491e-acd5-44a0-9281-00482293b52e&w=300,NEUF,439,999,A vendre un local commercial de 112.8 m²,"La Manouba, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/la-manouba/la-manouba/a-vendre-s2-au-3-me-tage/690dc14e145e1617cb9e6a3f/,Résidence Eddiar,https://www.tayara.tn/mediaGateway/resize-image?img=c8/c8a22855-a811-46ec-9e49-4df52e2b75f5&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=69/69718cce-9255-41d8-b741-6150d7e00e42&w=300,NEUF,320,000,A vendre S+2 au 3 ème étage,"La Manouba, 2 hours ago"
